hgnc_id,hgnc_symbol,con,go_con,gene_con,rel_go,frac_rel_go
620,APP,260,64,196,13,0.203
10067,RNF4,179,14,165,10,0.714
8071,NXF1,121,9,112,8,0.889
17922,REPIN1,110,5,105,4,0.8
7765,NF1,112,15,97,10,0.667
3471,ESRRA,111,15,96,14,0.933
3778,FN1,136,40,96,36,0.9
9864,RARA,137,47,90,26,0.553
3489,ETS2,100,15,85,13,0.867
3121,E4F1,94,12,82,11,0.917
3810,FOXF2,99,18,81,11,0.611
3373,EP300,141,62,79,55,0.887
14935,SIRT7,106,34,72,29,0.853
24953,HEXIM1,85,18,67,17,0.944
9611,PTK2,115,52,63,33,0.635
12853,YWHAH,78,16,62,14,0.875
8923,PHGDH,64,2,62,1,0.5
29010,SETD1A,74,15,59,12,0.8
12036,TRAF6,104,45,59,32,0.711
25156,SGF29,65,7,58,7,1
8638,KAT2B,84,27,57,23,0.852
6116,IRF1,75,18,57,13,0.722
9884,RB1,87,34,53,31,0.912
10442,RPS9,68,17,51,10,0.588
2092,CLTC,83,33,50,25,0.758
6110,IQGAP1,84,34,50,6,0.176
9982,RFX1,56,7,49,7,1
10908,SLC11A2,90,41,49,39,0.951
9393,PRKCA,73,27,46,17,0.63
14929,SIRT1,150,105,45,72,0.686
7406,MT2A,56,11,45,6,0.545
6140,ITGA4,67,23,44,21,0.913
10852,SHMT2,80,36,44,28,0.778
10310,RPL18,54,11,43,9,0.818
9413,PRKDC,82,39,43,22,0.564
2555,CUL4B,60,18,42,18,1
2556,CUL5,50,9,41,9,1
15911,NOP56,51,11,40,11,1
2961,DYNC1H1,64,24,40,22,0.917
14063,HDAC4,79,39,40,28,0.718
9113,PML,74,34,40,20,0.588
10368,RPL8,49,10,39,8,0.8
2452,CSNK1D,65,26,39,17,0.654
16807,SMURF1,66,27,39,17,0.63
8925,PHKA1,39,1,38,1,1
10418,RPS28,50,13,37,12,0.923
9725,PYGL,52,15,37,12,0.8
9191,POLR2D,54,17,37,11,0.647
10317,RPL23A,47,10,37,6,0.6
10397,RPS17,44,8,36,7,0.875
17165,TFIP11,46,10,36,7,0.7
24818,FOXJ2,48,14,34,13,0.929
10307,RPL17,40,6,34,5,0.833
9282,PPP1CB,50,16,34,0,0
4803,HADHB,41,8,33,8,1
8927,PHKB,35,2,33,2,1
13631,RPL36,41,8,33,5,0.625
11393,AURKA,60,27,33,16,0.593
5213,HSD17B4,46,14,32,14,1
7428,MTF1,43,11,32,11,1
10344,RPL35,37,5,32,5,1
7669,NCOA2,44,12,32,10,0.833
3277,EIF3E,48,16,32,8,0.5
21948,ZNF746,45,14,31,14,1
4074,GABPB1,37,6,31,6,1
10409,RPS21,41,10,31,9,0.9
10377,RPLP2,37,6,31,5,0.833
1599,CCNT1,48,17,31,14,0.824
29381,LZTS2,36,5,31,4,0.8
2230,COPA,43,12,31,9,0.75
7605,MYO6,61,30,31,17,0.567
1516,CAT,53,22,31,10,0.455
9975,TRIM27,69,38,31,0,0
563,AP2B1,36,7,29,7,1
2372,MED23,35,6,29,6,1
10253,PTBP3,34,5,29,5,1
10771,SF3B4,39,10,29,9,0.9
403,ALDH3A2,43,14,29,12,0.857
393,AKT3,41,12,29,10,0.833
29513,AQR,40,11,29,7,0.636
3211,EEF1D,41,12,29,2,0.167
344,AHCYL1,42,14,28,13,0.929
10349,RPL38,36,8,28,6,0.75
169,ACTR2,43,15,28,10,0.667
851,ATP6V1A,37,10,27,10,1
19073,THOC2,38,11,27,8,0.727
7029,MET,59,32,27,5,0.156
4801,HADHA,34,8,26,8,1
7587,MYL6,32,6,26,6,1
18646,HSD17B12,29,3,26,3,1
1665,SCARB2,41,15,26,14,0.933
24011,ABI2,41,15,26,13,0.867
882,ATR,48,22,26,18,0.818
7411,MTA2,42,16,26,13,0.812
4648,GTF2B,53,27,26,20,0.741
26113,TCTN1,29,3,26,1,0.333
9381,PRKACB,36,10,26,3,0.3
2362,CRK,48,23,25,19,0.826
6150,ITGAV,76,51,25,24,0.471
17598,UBE2J1,32,8,24,7,0.875
4622,GSPT2,31,7,24,6,0.857
12011,TPM2,30,6,24,5,0.833
17349,PRPF4,35,11,24,9,0.818
16998,TMED10,42,18,24,14,0.778
3115,E2F3,39,16,23,16,1
29356,CEP44,31,8,23,8,1
22204,AHCYL2,26,3,23,3,1
10999,SLC27A5,36,13,23,11,0.846
946,MAGI1,35,12,23,0,0
24170,BRIX1,27,5,22,4,0.8
17083,RRS1,36,14,22,11,0.786
18734,MTREX,35,13,22,9,0.692
