Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
star/1-1/Aligned.sortedByCoord.out.bam	33024078	21904928	0	0	0	8603811	0	0	0	0	0	0	1620012	0	895327	66.33017279089518
star/1-3/Aligned.sortedByCoord.out.bam	34957017	23894611	0	0	0	8719892	0	0	0	0	0	0	1411905	0	930609	68.35426203557358
star/10-1/Aligned.sortedByCoord.out.bam	37394245	24975060	0	0	0	10097095	0	0	0	0	0	0	1291698	0	1030392	66.78851251041436
star/10-3/Aligned.sortedByCoord.out.bam	40257370	26391206	0	0	0	11581531	0	0	0	0	0	0	1225675	0	1058958	65.55620995609003
star/11-1/Aligned.sortedByCoord.out.bam	35154233	22527944	0	0	0	10503130	0	0	0	0	0	0	1192456	0	930703	64.08316176319364
star/11-3/Aligned.sortedByCoord.out.bam	42748177	29744521	0	0	0	10262867	0	0	0	0	0	0	1540849	0	1199940	69.58079405351016
star/12-1/Aligned.sortedByCoord.out.bam	32989775	21578580	0	0	0	9148711	0	0	0	0	0	0	1375529	0	886955	65.40990352313709
star/12-3/Aligned.sortedByCoord.out.bam	36171888	24658153	0	0	0	9230705	0	0	0	0	0	0	1289637	0	993393	68.16938336201859
star/2-1/Aligned.sortedByCoord.out.bam	34146441	21985451	0	0	0	9721001	0	0	0	0	0	0	1541764	0	898225	64.38577595832022
star/2-3/Aligned.sortedByCoord.out.bam	34445952	23647092	0	0	0	8555286	0	0	0	0	0	0	1323486	0	920088	68.64984309331906
star/3-1/Aligned.sortedByCoord.out.bam	34353063	22299232	0	0	0	9428438	0	0	0	0	0	0	1705327	0	920066	64.91191775242866
star/3-3/Aligned.sortedByCoord.out.bam	34569203	23813136	0	0	0	8373001	0	0	0	0	0	0	1476878	0	906188	68.88540647003056
star/4-1/Aligned.sortedByCoord.out.bam	37152171	19897053	0	0	0	14934731	0	0	0	0	0	0	1399398	0	920989	53.55555937767406
star/4-3/Aligned.sortedByCoord.out.bam	35882560	21276902	0	0	0	12550428	0	0	0	0	0	0	1155565	0	899665	59.29594209554725
star/5-1/Aligned.sortedByCoord.out.bam	45499559	22129444	0	0	0	20961032	0	0	0	0	0	0	1399350	0	1009733	48.63661206034986
star/5-3/Aligned.sortedByCoord.out.bam	37675639	21045664	0	0	0	14579977	0	0	0	0	0	0	1165896	0	884102	55.86013816514167
star/6-1/Aligned.sortedByCoord.out.bam	45147919	22699628	0	0	0	19774986	0	0	0	0	0	0	1628261	0	1045044	50.2783483774745
star/6-3/Aligned.sortedByCoord.out.bam	39332868	20870022	0	0	0	16474794	0	0	0	0	0	0	1082715	0	905337	53.06000569294871
star/7-1/Aligned.sortedByCoord.out.bam	47741302	32620190	0	0	0	11457021	0	0	0	0	0	0	2337797	0	1326294	68.32698027380988
star/7-3/Aligned.sortedByCoord.out.bam	29671658	21609056	0	0	0	6071710	0	0	0	0	0	0	1145889	0	845003	72.8272616245442
star/8-1/Aligned.sortedByCoord.out.bam	65054166	19452006	0	0	0	43123685	0	0	0	0	0	0	1662321	0	816154	29.901245678870126
star/8-3/Aligned.sortedByCoord.out.bam	31907451	20732409	0	0	0	8929878	0	0	0	0	0	0	1462960	0	782204	64.9767008966025
star/9-1/Aligned.sortedByCoord.out.bam	30610376	20322364	0	0	0	8071604	0	0	0	0	0	0	1371144	0	845264	66.39044224742617
star/9-3/Aligned.sortedByCoord.out.bam	38559870	26689498	0	0	0	9166216	0	0	0	0	0	0	1661977	0	1042179	69.21573646384182
