Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
1-1	27045413.0	74.0	24420267.0	90.29	74.32	6859192.0	6852144.0	6786755.0	57901.0	6790.0	7746.0	0.28	0.01	1.5	0.0	1.4	2276312.0	8.42	12.0	0.0	0.0	1.19	0.09	0	324295	24527
1-3	28679774.0	74.0	26237125.0	91.48	74.39	7513794.0	7506669.0	7435136.0	64392.0	7287.0	6979.0	0.29	0.01	1.46	0.0	1.44	2389514.0	8.33	6.0	0.0	0.0	0.12	0.06	0	35419	17710
10-1	30171944.0	74.0	27297150.0	90.47	74.34	8014033.0	8006496.0	7930408.0	66930.0	8190.0	8505.0	0.28	0.01	1.51	0.0	1.41	2598134.0	8.61	5.0	0.0	0.0	0.85	0.06	0	258414	18241
10-3	32067828.0	74.0	28675839.0	89.42	74.31	8623106.0	8615095.0	8533226.0	73255.0	8302.0	8323.0	0.31	0.01	1.47	0.0	1.44	2916694.0	9.1	6.0	0.0	0.0	1.42	0.06	0	456021	19268
11-1	27503310.0	74.0	24651103.0	89.63	74.34	7300914.0	7293881.0	7227930.0	58244.0	7326.0	7414.0	0.29	0.01	1.5	0.0	1.4	2519485.0	9.16	8.0	0.0	0.0	1.15	0.06	0	316216	16498
11-3	35977080.0	74.0	32485310.0	90.29	74.31	9730666.0	9721968.0	9629264.0	81287.0	10124.0	9991.0	0.3	0.01	1.47	0.0	1.44	2865383.0	7.96	7.0	0.0	0.0	1.68	0.06	0	604781	21599
12-1	26471426.0	74.0	23841064.0	90.06	74.31	6945791.0	6938894.0	6874002.0	57657.0	7208.0	6924.0	0.29	0.01	1.51	0.0	1.41	2284714.0	8.63	5.0	0.0	0.0	1.24	0.07	0	327174	18469
12-3	29938178.0	74.0	26941183.0	89.99	74.29	7994287.0	7986970.0	7910154.0	68563.0	7734.0	7836.0	0.34	0.01	1.48	0.0	1.44	2486625.0	8.31	6.0	0.0	0.0	1.65	0.06	0	492456	17908
2-1	27238855.0	74.0	24425440.0	89.67	74.33	6888088.0	6880951.0	6817451.0	56202.0	6227.0	8208.0	0.28	0.01	1.49	0.0	1.43	2500272.0	9.18	15.0	0.0	0.0	1.06	0.09	0	288622	24506
2-3	28365500.0	74.0	25890666.0	91.28	74.38	7364645.0	7357844.0	7284109.0	66540.0	6779.0	7217.0	0.29	0.01	1.45	0.0	1.45	2427055.0	8.56	13.0	0.0	0.0	0.1	0.06	0	29854	17912
3-1	27712044.0	74.0	24924625.0	89.94	74.33	6958681.0	6951229.0	6879620.0	63321.0	6809.0	8931.0	0.28	0.01	1.51	0.0	1.43	2407686.0	8.69	3.0	0.0	0.0	1.28	0.09	0	354784	24946
3-3	28610105.0	74.0	26196202.0	91.56	74.37	7359980.0	7352822.0	7281926.0	62989.0	7380.0	7685.0	0.29	0.01	1.46	0.0	1.43	2362517.0	8.26	3.0	0.0	0.0	0.11	0.07	0	31401	19982
4-1	25722932.0	74.0	22217440.0	86.37	74.27	6431756.0	6422842.0	6362317.0	53945.0	6204.0	9290.0	0.3	0.01	1.67	0.0	1.43	3008488.0	11.7	9.0	0.0	0.0	1.8	0.13	0	463519	33476
4-3	26218130.0	74.0	23332132.0	88.99	74.33	6838407.0	6829673.0	6766957.0	56259.0	6452.0	8739.0	0.31	0.01	1.62	0.0	1.43	2828867.0	10.79	2.0	0.0	0.0	0.14	0.08	0	36355	20774
5-1	29045592.0	74.0	24538527.0	84.48	74.26	7284929.0	7274961.0	7206608.0	61158.0	6710.0	10453.0	0.3	0.01	1.71	0.0	1.44	3932482.0	13.54	11.0	0.0	0.0	1.83	0.14	0	533739	40833
5-3	26205170.0	74.0	23095662.0	88.13	74.34	6749770.0	6740815.0	6676514.0	57736.0	6517.0	9003.0	0.3	0.01	1.62	0.0	1.44	3068737.0	11.71	5.0	0.0	0.0	0.1	0.06	0	25479	15287
